b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
288,175.97473684210527,10105521.05263158,0.0007894736842105,1.0,0.9994736842105264,0.9992105263157895,0.0,0.000526315789473597
289,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
290,175.86105263157896,10099702.631578946,0.0002631578947368,0.9997368421052631,0.9992105263157894,0.9997368421052631,0.000263157894736854,0.0007894736842105621
291,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
292,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
293,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
294,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
295,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
296,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
297,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
298,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
299,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
300,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
301,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
302,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
303,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
304,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
305,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
306,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
307,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
308,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
309,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
310,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
311,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
312,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
313,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
314,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
315,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
316,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
317,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
318,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
319,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
320,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
321,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
322,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
323,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
324,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
325,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
326,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
327,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
328,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
329,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
330,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
331,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
332,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
333,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
334,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
335,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
336,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
337,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
338,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
339,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
340,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
341,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
342,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
343,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
344,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
345,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
346,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
347,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
348,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
349,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
350,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
351,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
352,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
353,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
354,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
355,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
356,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
357,175.97894736842105,10107628.94736842,0.0002631578947368,1.0,0.9997368421052631,0.9997368421052631,0.0,0.000263157894736854
358,175.9578947368421,10105257.89473684,0.0005263157894736,1.0,0.9994736842105264,0.9994736842105264,0.0,0.000526315789473597
359,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
360,175.94526315789474,10107334.210526315,0.0,0.9997368421052631,0.9992105263157894,1.0,0.000263157894736854,0.0007894736842105621
361,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
362,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
363,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
364,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
365,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
366,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
367,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
368,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
369,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
370,175.9242105263158,10104731.578947367,0.0,1.0,0.9994736842105264,1.0,0.0,0.000526315789473597
371,175.97894736842105,10107628.94736842,0.0002631578947368,1.0,0.9997368421052631,0.9997368421052631,0.0,0.000263157894736854
372,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
373,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
374,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
375,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
376,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
377,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
378,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
379,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
380,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
381,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
382,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
383,176.02526315789473,10110500.0,0.0005263157894736,0.9997368421052631,1.0,0.9994736842105264,0.000263157894736854,0.0
384,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
385,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
386,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
387,175.99157894736842,10109973.684210526,0.0,0.9997368421052631,1.0,1.0,0.000263157894736854,0.0
388,175.9621052631579,10107576.315789474,0.0002631578947368,0.9994736842105264,0.9997368421052631,0.9997368421052631,0.000526315789473597,0.000263157894736854
389,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
390,175.97473684210527,10109921.05263158,0.0,0.9992105263157894,1.0,1.0,0.0007894736842105621,0.0
391,175.97473684210527,10109942.10526316,0.0,0.9994736842105264,0.9994736842105264,1.0,0.000526315789473597,0.000526315789473597
392,175.9284210526316,10109807.89473684,0.0,0.998157894736842,0.9992105263157894,1.0,0.0018421052631579782,0.0007894736842105621
393,175.98315789473685,10108052.631578946,0.0007894736842105,0.9989473684210526,1.0,0.9992105263157895,0.001052631578947416,0.0
394,175.97052631578947,10109918.421052633,0.0,0.9992105263157894,0.9997368421052631,1.0,0.0007894736842105621,0.000263157894736854
395,175.97473684210527,10109921.05263158,0.0,0.9992105263157894,1.0,1.0,0.0007894736842105621,0.0
396,175.8736842105263,10107352.631578946,0.0002631578947368,0.9973684210526316,0.998421052631579,0.9997368421052631,0.0026315789473684292,0.0015789473684210131
397,175.88631578947368,10109697.368421054,0.0,0.9971052631578948,0.9986842105263158,1.0,0.0028947368421051722,0.001315789473684159
398,175.85263157894738,10109592.10526316,0.0,0.9960526315789474,0.9986842105263158,1.0,0.003947368421052588,0.001315789473684159
399,175.8021052631579,10109455.263157897,0.0,0.9947368421052633,0.998157894736842,1.0,0.0052631578947367474,0.0018421052631579782
400,175.78105263157894,10109357.89473684,0.0,0.9936842105263158,0.9989473684210526,1.0,0.0063157894736841635,0.001052631578947416
401,175.77263157894737,10109373.684210526,0.0,0.9939473684210526,0.9978947368421052,1.0,0.0060526315789474205,0.002105263157894832
402,175.70947368421054,10109165.789473685,0.0,0.991842105263158,0.998157894736842,1.0,0.00815789473684203,0.0018421052631579782
403,175.51157894736843,10108663.157894736,0.0,0.9871052631578948,0.9952631578947368,1.0,0.012894736842105181,0.00473684210526315
404,175.37684210526317,10108200.0,0.0,0.9823684210526316,0.9963157894736844,1.0,0.017631578947368443,0.0036842105263156233
405,175.25052631578947,10107826.315789474,0.0,0.9786842105263158,0.9957894736842106,1.0,0.021315789473684177,0.004210526315789442
406,175.09894736842105,10107415.789473685,0.0,0.9747368421052632,0.9942105263157894,1.0,0.025263157894736765,0.0057894736842105665
